"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"71","1","1","0.8","no-visualization","500","300","500","1","3.57","0.27676955721443897","true"
"70","10","1","0.7","no-visualization","500","300","500","2.074","3.76","0.4592697319197599","true"
"72","2","1","0.8","no-visualization","500","300","500","1.47","3.604","0.3920992065013228","true"
"73","3","1","0.8","no-visualization","500","300","500","1.62","3.608","0.4387682319190698","true"
"74","4","1","0.8","no-visualization","500","300","500","1.754","3.684","0.4451338108061651","true"
"75","5","1","0.8","no-visualization","500","300","500","1.822","3.638","0.4703138528886584","true"
"76","6","1","0.8","no-visualization","500","300","500","1.968","3.604","0.47256704590479376","true"
"77","7","1","0.8","no-visualization","500","300","500","2.068","3.73","0.4565439357751132","true"
"78","8","1","0.8","no-visualization","500","300","500","2.094","3.686","0.46858371735791077","true"
"79","9","1","0.8","no-visualization","500","300","500","2.246","3.75","0.46490728373160795","true"
"80","10","1","0.8","no-visualization","500","300","500","2.308","3.664","0.4702982425526615","true"
"81","1","1","0.9","no-visualization","500","300","500","1","3.686","0.27298365580920597","true"
"83","3","1","0.9","no-visualization","500","300","500","1.63","3.82","0.4166053771613151","true"
"82","2","1","0.9","no-visualization","500","300","500","1.464","3.59","0.3743891422120983","true"
"84","4","1","0.9","no-visualization","500","300","500","1.77","3.568","0.44211223299408625","true"
"85","5","1","0.9","no-visualization","500","300","500","1.872","3.67","0.4656145362005883","true"
"86","6","1","0.9","no-visualization","500","300","500","2.008","3.606","0.4682067823015062","true"
"88","8","1","0.9","no-visualization","500","300","500","2.096","3.554","0.4780572927776118","true"
"89","9","1","0.9","no-visualization","500","300","500","2.25","3.584","0.486257511654854","true"
"87","7","1","0.9","no-visualization","500","300","500","2.02","3.72","0.4596791451238369","true"
"90","10","1","0.9","no-visualization","500","300","500","2.278","3.654","0.48888340992770507","true"
"91","1","1","1","no-visualization","500","300","500","1","3.676","0.31676677449031077","true"
"92","2","1","1","no-visualization","500","300","500","1.48","3.544","0.39530645775989864","true"
"94","4","1","1","no-visualization","500","300","500","1.814","3.45","0.4608133693170022","true"
"93","3","1","1","no-visualization","500","300","500","1.634","3.704","0.435449814126394","true"
"95","5","1","1","no-visualization","500","300","500","1.834","3.628","0.4664254940711464","true"
"96","6","1","1","no-visualization","500","300","500","1.93","3.65","0.45846065761491916","true"
"97","7","1","1","no-visualization","500","300","500","1.996","3.818","0.467687065637066","true"
"98","8","1","1","no-visualization","500","300","500","2.24","3.658","0.4996567180031862","true"
"100","10","1","1","no-visualization","500","300","500","2.426","3.684","0.47862169443069985","true"
"101","1","1","1.1","no-visualization","500","300","500","1","3.634","0.3122798193639301","true"
"99","9","1","1","no-visualization","500","300","500","2.334","3.58","0.49730098821952956","true"
"102","2","1","1.1","no-visualization","500","300","500","1.49","3.75","0.4048696903856602","true"
"103","3","1","1.1","no-visualization","500","300","500","1.694","3.758","0.4380204688158564","true"
"104","4","1","1.1","no-visualization","500","300","500","1.78","3.61","0.4666370765337471","true"
"105","5","1","1.1","no-visualization","500","300","500","1.816","3.646","0.44863836040046967","true"
"107","7","1","1.1","no-visualization","500","300","500","2.028","3.534","0.46888454507732535","true"
"106","6","1","1.1","no-visualization","500","300","500","1.966","3.68","0.45009034148688415","true"
"110","10","1","1.1","no-visualization","500","300","500","2.344","3.614","0.469448022309487","true"
"109","9","1","1.1","no-visualization","500","300","500","2.376","3.558","0.47894594812358626","true"
"108","8","1","1.1","no-visualization","500","300","500","2.214","3.674","0.48574241861468254","true"
"111","1","1","1.2","no-visualization","500","300","500","1","3.588","0.33139535158651423","true"
"112","2","1","1.2","no-visualization","500","300","500","1.452","3.604","0.3793074680710568","true"
"113","3","1","1.2","no-visualization","500","300","500","1.696","3.862","0.443987639605349","true"
"114","4","1","1.2","no-visualization","500","300","500","1.806","3.8","0.45753796960764914","true"
"115","5","1","1.2","no-visualization","500","300","500","1.928","3.67","0.4635630329467985","true"
"116","6","1","1.2","no-visualization","500","300","500","1.982","3.71","0.470390306419667","true"
"117","7","1","1.2","no-visualization","500","300","500","2.13","3.624","0.48120023537323464","true"
"118","8","1","1.2","no-visualization","500","300","500","2.28","3.618","0.4743951293759518","true"
"119","9","1","1.2","no-visualization","500","300","500","2.344","3.656","0.4949680304046503","true"
"121","1","1","1.3","no-visualization","500","300","500","1","3.604","0.3263892090085362","true"
