"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/25/2024 22:08:12:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"71","1","1","2","no-visualization","500","300","500","1","3.496","0.3782466923541157","true"
"73","3","1","2","no-visualization","500","300","500","1.894","3.752","0.441981873813858","true"
"75","5","1","2","no-visualization","500","300","500","2.1","3.798","0.5045248618784528","true"
"72","2","1","2","no-visualization","500","300","500","1.466","3.554","0.41743868812632856","true"
"74","4","1","2","no-visualization","500","300","500","2.038","3.84","0.48943876802737657","true"
"76","6","1","2","no-visualization","500","300","500","2.184","3.754","0.48623258015924226","true"
"78","8","1","2","no-visualization","500","300","500","2.352","3.646","0.4989224550766666","true"
"77","7","1","2","no-visualization","500","300","500","2.384","3.758","0.5229894338577956","true"
"79","9","1","2","no-visualization","500","300","500","2.346","3.714","0.515668443543769","true"
"80","10","1","2","no-visualization","500","300","500","2.524","3.692","0.5182949686339776","true"
"81","1","1","0.25","no-visualization","500","300","500","1","3.656","0.2494344940908805","true"
"82","2","1","0.25","no-visualization","500","300","500","1.188","3.596","0.28136923931149393","true"
"83","3","1","0.25","no-visualization","500","300","500","1.286","3.606","0.2852794158170294","true"
"84","4","1","0.25","no-visualization","500","300","500","1.408","3.632","0.31477910351499494","true"
"85","5","1","0.25","no-visualization","500","300","500","1.634","3.646","0.3088338240226585","true"
"88","8","1","0.25","no-visualization","500","300","500","2.106","3.662","0.303759940926712","true"
"86","6","1","0.25","no-visualization","500","300","500","1.722","3.724","0.30136217588395253","true"
"87","7","1","0.25","no-visualization","500","300","500","1.908","3.526","0.31151048020405914","true"
"91","1","1","0.5","no-visualization","500","300","500","1","3.67","0.2642601560077286","true"
"89","9","1","0.25","no-visualization","500","300","500","2.098","3.682","0.3170335771900202","true"
"90","10","1","0.25","no-visualization","500","300","500","2.202","3.618","0.3030185171737711","true"
"92","2","1","0.5","no-visualization","500","300","500","1.342","3.724","0.4247657614952263","true"
"93","3","1","0.5","no-visualization","500","300","500","1.502","3.748","0.4243481351186417","true"
"94","4","1","0.5","no-visualization","500","300","500","1.58","3.812","0.4394464198824716","true"
"96","6","1","0.5","no-visualization","500","300","500","1.9","3.622","0.4485002704839582","true"
"97","7","1","0.5","no-visualization","500","300","500","1.918","3.736","0.42977516466642407","true"
"98","8","1","0.5","no-visualization","500","300","500","2.072","3.612","0.44876609105180526","true"
"95","5","1","0.5","no-visualization","500","300","500","1.716","3.782","0.4491025570525158","true"
"99","9","1","0.5","no-visualization","500","300","500","2.222","3.79","0.46357475411081134","true"
"100","10","1","0.5","no-visualization","500","300","500","2.354","3.732","0.47019956177313343","true"
"101","1","1","0.75","no-visualization","500","300","500","1","3.648","0.2775730565944968","true"
"102","2","1","0.75","no-visualization","500","300","500","1.476","3.69","0.42322989632227775","true"
"103","3","1","0.75","no-visualization","500","300","500","1.59","3.64","0.4425246564038355","true"
"104","4","1","0.75","no-visualization","500","300","500","1.744","3.694","0.45910895051114486","true"
"105","5","1","0.75","no-visualization","500","300","500","1.87","3.686","0.4545928258747209","true"
"107","7","1","0.75","no-visualization","500","300","500","2.096","3.78","0.4643826405054872","true"
"108","8","1","0.75","no-visualization","500","300","500","1.99","3.56","0.46774439130369183","true"
"106","6","1","0.75","no-visualization","500","300","500","1.87","3.534","0.4598702684875651","true"
"110","10","1","0.75","no-visualization","500","300","500","2.248","3.684","0.4613897538667077","true"
"109","9","1","0.75","no-visualization","500","300","500","2.164","3.546","0.465060613745879","true"
"111","1","1","1","no-visualization","500","300","500","1","3.464","0.33107338670548275","true"
"112","2","1","1","no-visualization","500","300","500","1.47","3.674","0.3943229720744681","true"
"113","3","1","1","no-visualization","500","300","500","1.682","3.72","0.4442216884351703","true"
"114","4","1","1","no-visualization","500","300","500","1.744","3.65","0.4644376239493819","true"
"115","5","1","1","no-visualization","500","300","500","1.848","3.552","0.45931485665511834","true"
"118","8","1","1","no-visualization","500","300","500","2.054","3.674","0.4669982501286667","true"
"117","7","1","1","no-visualization","500","300","500","1.978","3.616","0.4843887452156821","true"
"119","9","1","1","no-visualization","500","300","500","2.26","3.668","0.4839257340241797","true"
"121","1","1","1.25","no-visualization","500","300","500","1","3.63","0.3252111581870103","true"
"116","6","1","1","no-visualization","500","300","500","2.038","3.666","0.4573054518297235","true"
"120","10","1","1","no-visualization","500","300","500","2.22","3.652","0.455858457387869","true"
"122","2","1","1.25","no-visualization","500","300","500","1.444","3.664","0.368321291976015","true"
"123","3","1","1.25","no-visualization","500","300","500","1.664","3.788","0.44461828671368364","true"
"124","4","1","1.25","no-visualization","500","300","500","1.842","3.58","0.46993273846927236","true"
"125","5","1","1.25","no-visualization","500","300","500","1.94","3.522","0.4823321368748504","true"
"127","7","1","1.25","no-visualization","500","300","500","2.078","3.692","0.48401901547683507","true"
"129","9","1","1.25","no-visualization","500","300","500","2.276","3.736","0.48304914056733095","true"
"126","6","1","1.25","no-visualization","500","300","500","2.092","3.608","0.47385277610871757","true"
"128","8","1","1.25","no-visualization","500","300","500","2.346","3.62","0.47660921877175877","true"
"130","10","1","1.25","no-visualization","500","300","500","2.306","3.67","0.4811323842618539","true"
"131","1","1","1.5","no-visualization","500","300","500","1","3.72","0.33915886214442","true"
"133","3","1","1.5","no-visualization","500","300","500","1.838","3.768","0.47321475017829434","true"
"132","2","1","1.5","no-visualization","500","300","500","1.476","3.68","0.3691837620682953","true"
"134","4","1","1.5","no-visualization","500","300","500","1.956","3.864","0.4729592979595344","true"
"135","5","1","1.5","no-visualization","500","300","500","2.092","3.744","0.5080763129786603","true"
"136","6","1","1.5","no-visualization","500","300","500","2.126","3.706","0.49652455467869194","true"
"138","8","1","1.5","no-visualization","500","300","500","2.386","3.626","0.5235371612993102","true"
"139","9","1","1.5","no-visualization","500","300","500","2.45","3.804","0.510293335322047","true"
"140","10","1","1.5","no-visualization","500","300","500","2.49","3.596","0.5076781831240555","true"
"141","1","1","1.75","no-visualization","500","300","500","1","3.676","0.33547876981283475","true"
"137","7","1","1.5","no-visualization","500","300","500","2.172","3.614","0.5059305730195798","true"
"142","2","1","1.75","no-visualization","500","300","500","1.47","3.616","0.364313267961988","true"
"143","3","1","1.75","no-visualization","500","300","500","1.882","3.788","0.4453442157850376","true"
"144","4","1","1.75","no-visualization","500","300","500","1.94","3.762","0.4919777419186926","true"
"145","5","1","1.75","no-visualization","500","300","500","2.024","3.722","0.47991618197923236","true"
"147","7","1","1.75","no-visualization","500","300","500","2.21","3.752","0.5056175343774079","true"
"146","6","1","1.75","no-visualization","500","300","500","2.176","3.62","0.5041354080376131","true"
"148","8","1","1.75","no-visualization","500","300","500","2.384","3.74","0.5101832119221061","true"
"150","10","1","1.75","no-visualization","500","300","500","2.526","3.828","0.5103843281477382","true"
"151","1","1","2","no-visualization","500","300","500","1","3.6","0.39970544584370704","true"
"149","9","1","1.75","no-visualization","500","300","500","2.48","3.744","0.5201586957023762","true"
"152","2","1","2","no-visualization","500","300","500","1.5","3.826","0.39075176790571176","true"
